NAME,CODE,OPEN,HIGH,LOW,CLOSE
NAZARA      ,543280, 1822.0, 1822.0, 1769.55, 1788.65
SHILPA MEDIC,530549, 417.0, 444.9, 417.0, 441.15
TAMBOLI CAP ,533170, 48.35, 49.8, 48.35, 49.8
LONGVIEW TEA,526568, 10.5, 11.0, 10.0, 11.0
MEDINOVA DIA,526301, 34.2, 34.2, 32.5, 32.5
VETO        ,539331, 130.1, 130.15, 124.15, 125.4
SUNTECK REAL,512179, 264.0, 264.9, 256.2, 257.45
9ICCL23     ,936274, 1005.0, 1005.0, 1005.0, 1005.0
ORIRAIL     ,531859, 53.0, 56.05, 51.25, 53.05
SARDA ENMIN ,504614, 562.85, 594.0, 554.75, 584.95
REAL STRIPS ,513558, 7.13, 7.13, 6.46, 7.07
10KFL23A    ,937197, 1000.0, 1000.0, 955.0, 955.0
MARAL OVERS ,521018, 32.55, 35.9, 32.5, 35.75
HIND.FOODS  ,519126, 2045.15, 2170.45, 2000.0, 2170.45
PAISALO     ,532900, 614.5, 622.9, 611.35, 621.65
GORANI INDUS,531608, 23.85, 23.85, 21.8, 21.8
ARCHIDPLY IN,532994, 35.05, 35.85, 34.55, 34.85
SGN TELECOMS,531812, 0.27, 0.29, 0.27, 0.27
INDOKEM LTD.,504092, 36.7, 36.85, 35.0, 36.85
KRIINFRA    ,533482, 4.0, 4.0, 3.7, 3.9
KIDUJA INDIA,507946, 22.65, 22.65, 22.15, 22.15
BEDMUTHA IN ,533270, 23.4, 24.95, 23.4, 24.9
MCX LTD     ,534091, 1491.45, 1495.0, 1473.4, 1480.55
NATH BIOGEN ,537291, 350.55, 350.55, 332.95, 337.8
INDUSTOWER  ,534816, 258.5, 258.5, 251.1, 253.6
IPCA LAB LTD,524494, 2105.0, 2135.0, 2090.0, 2109.75
ARAVALI SEC.,512344, 1.81, 1.81, 1.81, 1.81
IRIS        ,540735, 44.75, 45.5, 44.75, 45.5
IISL        ,540134, 4.7, 4.99, 4.25, 4.99
TATA INVEST.,501301, 1036.95, 1048.85, 1033.0, 1043.15
AARTISURF   ,543210, 1435.0, 1520.0, 1417.55, 1494.4
EIMCO ELECON,523708, 337.75, 361.3, 337.75, 356.85
10MFL22A    ,936924, 1147.02, 1169.99, 1147.0, 1169.98
697PFCL36   ,937381, 1015.3, 1015.3, 1015.3, 1015.3
QUINT       ,539515, 311.0, 312.25, 302.0, 312.0
UNISTAR MULT,532035, 3.35, 3.35, 3.31, 3.31
RAMCO  SYSTM,532370, 520.0, 522.5, 508.8, 514.45
PG ELECTRO  ,533581, 332.0, 338.35, 317.9, 338.35
BMW         ,542669, 30.25, 31.0, 28.6, 29.65
DHAN AGRI   ,507717, 791.0, 816.5, 791.0, 802.55
AXEL POLYMER,513642, 13.1, 13.1, 13.1, 13.1
JATALIA     ,519319, 7.0, 7.0, 6.37, 6.37
JATTAINDUS  ,514318, 23.2, 23.2, 21.05, 22.55
PRESTIGE    ,533274, 268.2, 274.0, 268.15, 271.45
RADIOCITY   ,540366, 23.15, 23.45, 23.0, 23.0
900KPL29    ,961851, 1288.0, 1288.0, 1288.0, 1288.0
