NAME,CODE,OPEN,HIGH,LOW,CLOSE
NAGREKA CAP ,532895, 6.09, 6.5, 6.09, 6.5
SEACOAST    ,542753, 153.0, 161.0, 153.0, 159.9
POLYCAB     ,542652, 1465.0, 1465.0, 1426.45, 1440.6
HARIA EXPORT,512604, 1.13, 1.16, 1.13, 1.16
TOYAMIND    ,538607, 1.36, 1.36, 1.36, 1.36
JUBLINGREA  ,543271, 416.15, 429.4, 398.5, 418.95
CYBER MEDIA ,532640, 11.05, 11.05, 10.5, 10.5
NARMADA GEL ,526739, 172.5, 174.0, 162.6, 165.25
CREST       ,511413, 78.15, 82.0, 78.15, 81.95
PVR LTD     ,532689, 1133.0, 1133.0, 1092.05, 1111.45
ISHAN DYES  ,531109, 70.0, 71.4, 63.9, 65.75
THIRU A.SUG.,507450, 8.63, 8.7, 7.9, 8.3
SDL         ,524727, 13.5, 13.5, 12.83, 12.83
TATA YODOGAW,504961, 50.55, 51.7, 47.25, 50.35
PAS.ACRYLON ,500456, 16.95, 17.2, 16.2, 16.7
ST.STR.WHEEL,513262, 727.5, 790.0, 726.2, 773.55
CLASSIC     ,538433, 0.37, 0.38, 0.36, 0.36
RICHIRICH   ,519230, 3.48, 3.48, 3.48, 3.48
APOLLOTRI   ,538566, 1245.0, 1261.0, 1221.25, 1252.45
CONTI.CONTRL,531460, 3.85, 3.85, 3.49, 3.85
DHANALAK.BNK,532180, 13.81, 13.94, 13.77, 13.81
NELCAST     ,532864, 69.9, 71.85, 68.2, 70.1
AKSHARCHEM I,524598, 266.9, 268.75, 263.6, 263.65
SIBAR AUTO  ,520141, 8.25, 8.25, 8.25, 8.25
SCHAEFFLER  ,505790, 5250.0, 5250.0, 5121.5, 5173.95
SPACEINCUBA ,541890, 0.87, 0.87, 0.85, 0.85
FGP LTD.    ,500142, 1.46, 1.46, 1.46, 1.46
ROSSARI     ,543213, 1212.8, 1229.9, 1202.75, 1213.85
875SEFL21   ,936174, 410.0, 410.0, 410.0, 410.0
JIK INDUS.  ,511618, 0.5, 0.5, 0.5, 0.5
SPICEJET LTD,500285, 61.6, 63.55, 61.25, 62.9
ARIHANT SEC.,531017, 3.61, 3.61, 3.61, 3.61
870LTFL22B  ,961738, 2167.5, 2167.6, 2167.5, 2167.56
GUJ.HOTELS  ,507960, 100.0, 104.0, 95.2, 103.35
G.V.FILMS   ,523277, 0.34, 0.34, 0.31, 0.32
VISA STEEL  ,532721, 8.86, 8.86, 8.86, 8.86
SPACEAGE    ,538920, 43.9, 43.9, 43.9, 43.9
916EFSL26   ,937495, 1000.0, 1000.0, 1000.0, 1000.0
HLVLTD      ,500193, 6.16, 6.16, 5.95, 6.1
MOHITE      ,532140, 14.25, 14.25, 14.25, 14.25
PEE CEE COSM,524136, 118.8, 124.8, 118.8, 119.0
JAYSHRE TEA ,509715, 93.9, 93.9, 89.45, 90.6
RAJ TELE    ,532826, 37.0, 37.1, 36.0, 36.0
AIIL        ,539177, 320.4, 320.4, 320.4, 320.4
STC INDIA   ,512531, 81.5, 84.4, 81.15, 82.3
STFCL21118  ,936334, 1265.0, 1265.0, 1255.5, 1255.67
SHIVAMILLS  ,540961, 46.45, 46.6, 45.0, 46.6
NAHAR INDUST,519136, 53.0, 55.95, 51.2, 55.05
JAYKAY      ,500306, 36.3, 37.45, 36.2, 36.2
HIND.CONSTN.,500185, 7.66, 7.75, 7.6, 7.63
TIL LTD.    ,505196, 186.0, 216.65, 182.0, 216.65
866NTPC33   ,961807, 1425.0, 1425.0, 1425.0, 1425.0
ALEMBIC LTD.,506235, 133.55, 138.0, 128.35, 130.1
SUCHITRA    ,538714, 35.3, 35.3, 35.3, 35.3
DISA INDIA  ,500068, 4525.0, 4587.95, 4420.0, 4559.65
PHOENIX MILL,503100, 765.4, 765.4, 741.25, 747.9
GOLKUNDA DIA,523676, 18.5, 18.5, 17.9, 18.15
ICICI BANK  ,532174, 596.0, 604.25, 584.75, 602.65
PRAXIS      ,540901, 36.75, 36.75, 33.8, 34.65
CHEMCRUX    ,540395, 240.0, 240.0, 226.1, 235.0
CORO ENGG   ,533167, 25.3, 26.45, 25.3, 26.25
IFCI150212A ,972713, 11190.0, 11190.0, 11190.0, 11190.0
MILLENNIUM  ,511187, 1.17, 1.17, 1.12, 1.12
USHA MART.LT,517146, 51.65, 54.4, 48.9, 50.2
KIRLOSAR PN ,505283, 357.95, 370.0, 343.0, 349.35
SUPER TANNER,523842, 2.9, 3.0, 2.71, 2.95
SHRIRAM TRAN,511218, 1302.0, 1312.6, 1272.7, 1286.75
AMINES&PLAST,506248, 100.0, 103.8, 96.65, 99.15
OIL INDIA   ,533106, 123.45, 124.55, 121.5, 122.1
ARVIND Ltd  ,500101, 72.2, 73.1, 70.3, 72.9
INDO RAMA   ,500207, 43.85, 44.55, 41.05, 42.95
RLFL        ,538540, 0.31, 0.31, 0.29, 0.3
RATHI BARS  ,532918, 19.05, 19.2, 18.4, 19.15
DABUR (I)   ,500096, 541.0, 542.0, 536.9, 541.2
LIPPI SYSTEM,526604, 8.76, 8.76, 8.76, 8.76
INDBUL REAL ,532832, 77.55, 79.6, 76.05, 77.35
ISHITA DRUGS,524400, 29.0, 31.0, 29.0, 29.6
YUKEN INDIA ,522108, 446.0, 450.0, 437.0, 443.75
LIBERTY SHOE,526596, 132.6, 132.85, 129.55, 130.25
SYNCOM FORM.,524470, 5.59, 5.59, 5.55, 5.59
BEEKAY      ,539018, 363.15, 378.95, 363.15, 372.1
ASHNI       ,541702, 4.9, 4.9, 4.9, 4.9
REDINGTON   ,532805, 175.35, 180.65, 175.35, 177.75
GUJ.INTRUX  ,517372, 100.95, 100.95, 96.5, 98.6
PTIL        ,540027, 345.0, 345.0, 340.25, 344.0
SIEL        ,519234, 20.9, 20.9, 20.8, 20.8
SIMBHALS    ,539742, 10.6, 10.66, 10.51, 10.66
BHARATAGRI  ,531862, 155.0, 162.9, 155.0, 162.7
SWAGRUHA    ,531909, 3.28, 3.28, 3.0, 3.02
TAALENT     ,539956, 592.0, 592.0, 540.0, 565.3
SITINET     ,532795, 0.86, 0.86, 0.82, 0.83
CASTEXTECH  ,532282, 0.58, 0.58, 0.58, 0.58
SMCGLOBAL   ,543263, 71.75, 71.75, 67.4, 68.4
INDIA HOME  ,530979, 39.75, 39.75, 38.15, 38.6
BAYER CROP  ,506285, 5371.25, 5435.7, 5284.9, 5340.4
0EFSL24A    ,937493, 950.0, 950.0, 950.0, 950.0
872MMFSL26  ,935740, 1199.0, 1199.0, 1199.0, 1199.0
GABRIEL(I)  ,505714, 106.5, 106.9, 105.3, 105.4
JSWSL       ,500228, 724.5, 733.15, 713.0, 717.5
KPIGLOBAL   ,542323, 60.5, 60.5, 60.5, 60.5
ABML        ,532974, 44.45, 44.8, 42.9, 43.1
CRAFTSMAN   ,543276, 1338.0, 1398.0, 1305.0, 1369.3
935SEFL23   ,936182, 339.8, 339.8, 339.8, 339.8
LAKHOTIA POL,535387, 8.0, 8.0, 8.0, 8.0
ANG         ,540694, 117.0, 131.0, 117.0, 131.0
NDL         ,532641, 30.5, 32.8, 30.05, 30.75
ASHIANA AGRO,519174, 4.88, 4.88, 4.88, 4.88
TANLA       ,532790, 853.7, 883.7, 852.55, 866.65
RAMA PETRO  ,500358, 2.56, 2.56, 2.56, 2.56
CENLUB INDUS,522251, 60.0, 62.4, 59.5, 60.3
0EFL23      ,936248, 1185.0, 1185.0, 1185.0, 1185.0
GTN INDUS   ,500170, 9.85, 10.5, 9.59, 9.59
TRANSWARRANT,532812, 2.4, 2.45, 2.4, 2.45
NITINCAST   ,508875, 63.0, 63.0, 63.0, 63.0
BODHTREE    ,539122, 27.75, 27.75, 26.0, 26.4
VIAANINDUS  ,537524, 0.9, 0.9, 0.82, 0.85
RNAVAL      ,533107, 2.95, 2.95, 2.79, 2.85
MFL29NOV18D ,936374, 1420.0, 1599.0, 1358.02, 1415.0
GULFOIL LUB ,538567, 700.0, 702.0, 690.0, 697.55
INDOSOLAR   ,533257, 1.75, 1.84, 1.75, 1.79
TANTIA CONS ,532738, 8.76, 8.76, 8.7, 8.76
RAJ PACKAGIN,530111, 17.7, 17.75, 17.7, 17.75
NAHAR SPG.  ,500296, 105.95, 110.6, 105.0, 110.6
INDSIL HYD  ,522165, 12.5, 13.39, 12.3, 12.84
GEE LTD     ,504028, 42.4, 42.4, 40.05, 41.25
PANKAJ POLY.,531280, 4.1, 4.1, 3.98, 3.98
KLG CAPITAL ,530771, 10.5, 10.5, 10.0, 10.0
MATRIMONY   ,540704, 951.2, 980.0, 949.05, 956.25
ORIENT CEM  ,535754, 113.0, 113.0, 108.7, 111.1
995ECL29    ,936975, 950.0, 950.0, 950.0, 950.0
IND.TONERS  ,523586, 136.0, 136.9, 132.1, 134.75
WARREN TEA  ,508494, 52.0, 53.5, 51.1, 51.3
THYROCARE   ,539871, 1049.95, 1063.45, 1032.0, 1051.35
BALARPUR IND,500102, 1.1, 1.15, 1.1, 1.12
DRCSYSTEMS  ,543268, 223.95, 225.0, 223.95, 224.0
KPL         ,539997, 120.8, 120.8, 109.3, 109.3
BENARA      ,541178, 8.7, 8.7, 8.7, 8.7
ROLLATAINER ,502448, 3.0, 3.05, 3.0, 3.02
NELCO LTD.  ,504112, 202.2, 205.9, 200.35, 202.65
NIVAKA      ,542206, 7.0, 7.0, 7.0, 7.0
ANSAL INFRAS,500013, 5.98, 5.98, 5.5, 5.75
WATERBASE   ,523660, 117.1, 120.55, 115.0, 117.45
GUJ AMB EXP ,524226, 158.55, 165.9, 157.85, 164.6
THEMIS MEDIC,530199, 375.35, 384.9, 374.4, 381.7
TECH MAH    ,532755, 970.0, 970.0, 954.05, 961.7
GOLDBEES    ,590095, 40.78, 40.79, 40.51, 40.56
SARLA PER F ,526885, 30.8, 31.2, 29.45, 29.75
676GOI2061  ,800334, 95.15, 95.15, 95.15, 95.15
RUSHIL DECOR,533470, 196.0, 198.95, 186.05, 189.9
ZENITHSTL   ,531845, 1.08, 1.08, 1.08, 1.08
KOTAK MAH.BK,500247, 1741.95, 1786.65, 1722.0, 1770.3
BANKBARODA  ,532134, 71.9, 72.95, 70.9, 72.35
SIDDHA VEN  ,530439, 1.19, 1.19, 1.11, 1.11
ABSLRIF6RG  ,541092, 8.39, 8.39, 8.39, 8.39
81TCHF23    ,937041, 1054.99, 1054.99, 1054.99, 1054.99
PADMAIND    ,526905, 4.74, 4.74, 4.74, 4.74
COM FINCAP  ,535267, 7.1, 7.77, 7.1, 7.77
975MHFL22   ,936947, 1007.0, 1007.0, 1007.0, 1007.0
CONTIL I LTD,531067, 12.56, 12.56, 12.56, 12.56
INDIA NIPPON,532240, 358.5, 365.0, 354.65, 360.8
PRITISHN COM,532387, 40.6, 40.6, 40.6, 40.6
JMC PROJECTS,522263, 79.5, 87.9, 79.5, 87.1
HFCL        ,500183, 31.9, 33.15, 31.3, 32.9
SYSCHEM (I) ,531173, 6.85, 7.0, 6.72, 6.95
MAYUR UNIQ. ,522249, 444.0, 453.45, 435.0, 448.9
MONEYBOXX   ,538446, 66.85, 69.05, 63.55, 66.4
FED MOG GOE ,505744, 293.5, 296.25, 288.55, 290.3
EMA INDIA   ,522027, 12.04, 12.04, 12.04, 12.04
COLGATE PALM,500830, 1498.0, 1503.0, 1485.5, 1494.25
SETCO AUTO  ,505075, 17.15, 18.0, 17.15, 17.5
LTFL90122I  ,961721, 1039.51, 1040.01, 1039.51, 1040.01
AMAR RAJA BA,500008, 766.0, 776.95, 766.0, 769.65
DECCANGOLD  ,512068, 23.0, 24.15, 23.0, 23.45
HDFCNIFETF  ,539516, 154.4, 156.1, 154.0, 155.04
BERGE PAINT ,509480, 708.0, 714.5, 705.95, 711.2
950STFCL23  ,936330, 1074.5, 1074.6, 1074.5, 1074.6
INDIAN OVER.,532388, 16.05, 16.15, 15.75, 15.85
GOLDEN TOB  ,500151, 43.4, 49.2, 42.0, 45.8
KZ LEAS FIN.,511728, 9.31, 9.31, 9.31, 9.31
VALSON INDUS,530459, 20.35, 20.35, 19.1, 19.7
AMJLAND     ,500343, 23.75, 23.8, 22.8, 23.6
SUNDARAM FIN,590071, 2506.0, 2515.75, 2464.8, 2488.75
MRSS        ,539229, 6.88, 6.9, 6.87, 6.9
SILVER OAK  ,531635, 17.85, 19.2, 17.85, 18.5
PANASON CAR ,508941, 465.0, 465.0, 450.0, 452.2
BOM.BURMAH  ,501425, 1179.1, 1190.0, 1165.0, 1168.65
ABAN OFFSHO ,523204, 32.2, 32.9, 31.15, 32.0
T C M LTD.  ,524156, 65.55, 65.55, 60.0, 65.55
GILADAFINS  ,538788, 39.6, 39.6, 39.6, 39.6
SHEETAL DIAM,530525, 2.65, 2.74, 2.64, 2.64
0SEFL23A    ,936114, 310.5, 310.5, 310.5, 310.5
TALBROSENG  ,538987, 149.5, 149.5, 145.8, 145.9
MASFIN      ,540749, 794.35, 806.8, 792.1, 798.9
LEMONTREE   ,541233, 36.5, 36.5, 35.25, 35.6
KANELIND    ,500236, 2.03, 2.03, 2.03, 2.03
ALBERT DAVID,524075, 442.25, 470.0, 436.85, 449.4
IRCTC       ,542830, 1774.25, 1780.0, 1685.05, 1716.55
865ERFL23   ,936126, 945.1, 945.1, 945.1, 945.1
CHANDRIMA   ,540829, 3.43, 3.6, 3.26, 3.6
KPEL        ,539686, 60.8, 60.8, 57.0, 59.0
PIDILITE    ,500331, 1815.0, 1816.0, 1794.55, 1812.05
V.B.DESAI   ,511110, 3.35, 3.66, 3.35, 3.66
ASHOKA REFIN,526983, 5.36, 5.36, 5.36, 5.36
KOLTEPATIL  ,532924, 217.0, 217.0, 209.0, 209.15
MARUTISUZUK ,532500, 6510.0, 6600.0, 6481.7, 6591.9
ICICILIQ    ,541946, 1000.0, 1000.01, 1000.0, 1000.0
RADHIKAJWE  ,540125, 17.5, 17.5, 17.5, 17.5
JK TYRE IND ,530007, 119.0, 121.55, 116.2, 117.8
TAKE SOLUT  ,532890, 52.7, 57.35, 51.65, 56.55
BAJAJHIND   ,500032, 8.98, 9.38, 8.76, 9.07
MEDIA MATRIX,512267, 4.38, 4.65, 4.31, 4.52
BENGAL TEA &,532230, 39.4, 43.25, 39.4, 43.25
SUMERU IND  ,530445, 0.82, 0.82, 0.82, 0.82
EXPO GAS    ,526614, 7.65, 7.65, 6.93, 7.01
KAYCEE IND  ,504084, 2753.0, 2753.0, 2753.0, 2753.0
VLS FINANCE ,511333, 92.0, 92.0, 88.15, 88.5
JAMNA AUTO  ,520051, 71.2, 71.45, 69.45, 70.1
SHREY SH LOG,520151, 83.35, 98.0, 81.7, 98.0
DHINDIA     ,517514, 15.45, 15.45, 15.25, 15.25
KRITI NUTRI ,533210, 45.55, 48.7, 44.2, 47.5
TAINWALA CH.,507785, 68.0, 68.25, 66.0, 67.0
INEOSSTYRO  ,506222, 1185.0, 1195.0, 1166.55, 1171.65
BHARATWIRE  ,539799, 45.65, 45.65, 41.45, 42.3
HIND.PETRO  ,500104, 241.5, 246.4, 241.0, 244.9
INDOBORAXC  ,524342, 857.0, 882.95, 845.05, 866.15
876HUDCO34  ,961813, 1425.0, 1432.0, 1425.0, 1432.0
BAJAJ AUTO  ,532977, 3821.15, 3851.6, 3786.0, 3843.65
SGBAUG28    ,800325, 4828.99, 4829.0, 4810.0, 4825.0
RGL         ,532923, 389.0, 393.9, 382.2, 384.4
875MFL26    ,937407, 989.0, 989.0, 989.0, 989.0
A2ZINFRA    ,533292, 3.96, 4.1, 3.95, 4.06
CEENIK EXPO.,531119, 5.82, 5.82, 5.82, 5.82
ICSL        ,539149, 2.32, 2.32, 2.32, 2.32
CIL NOVA    ,533407, 13.71, 13.71, 12.61, 13.71
GSB FINANCE ,511543, 12.18, 12.18, 12.18, 12.18
SUNEDISON   ,531260, 55.45, 55.45, 55.45, 55.45
SRI KPR IND ,514442, 13.2, 13.2, 12.42, 13.0
WALCHAND PF ,501370, 55.3, 58.0, 55.0, 58.0
DIAMINES&CHM,500120, 333.95, 337.0, 324.2, 329.0
OMAXE LTD   ,532880, 69.15, 69.15, 68.5, 68.65
FAZE3AUTO   ,532459, 80.0, 99.8, 79.8, 96.9
TIINDIA     ,540762, 1255.15, 1259.2, 1226.0, 1246.05
YURANUS INFR,536846, 6.2, 6.2, 6.2, 6.2
SHARDA MOTOR,535602, 334.65, 344.0, 323.65, 327.65
SIMMONDS-MAR,507998, 29.4, 29.4, 27.5, 28.15
DCM LTD.    ,502820, 25.35, 25.4, 25.0, 25.4
GRSE        ,542011, 173.1, 176.25, 171.4, 174.4
JCHAC       ,523398, 2315.1, 2320.65, 2284.0, 2288.9
GENUSPRIME  ,532425, 6.07, 6.07, 6.07, 6.07
JASCH INDUST,500220, 62.6, 67.0, 62.6, 66.4
ALU FLUORIDE,524634, 279.5, 283.6, 275.05, 283.6
JYOTI LTD.  ,504076, 11.19, 11.2, 10.5, 10.9
104ECL24    ,936971, 981.0, 981.0, 980.0, 980.83
SURYODAY    ,543279, 247.9, 248.8, 245.0, 246.05
875IIFCL33  ,961798, 1412.0, 1412.0, 1412.0, 1412.0
AURO LAB.   ,530233, 94.2, 98.5, 94.2, 97.45
APOLLO HOSP.,508869, 3215.6, 3356.5, 3172.95, 3336.4
TINPLATE    ,504966, 205.65, 209.65, 198.35, 203.0
SUN PHARMA. ,524715, 645.0, 687.6, 640.0, 683.3
975MFL24    ,936482, 1053.99, 1053.99, 1053.99, 1053.99
92SEFL28    ,936186, 271.81, 325.8, 261.0, 301.8
GUJ.RAFFIA  ,523836, 38.9, 38.9, 37.3, 37.3
SHRI JAGDAMB,512453, 513.45, 538.45, 501.25, 530.35
CONCORD     ,538965, 27.2, 30.0, 27.2, 30.0
SKCIL       ,530977, 35.0, 35.15, 34.8, 35.0
PUROHITCON  ,538993, 6.0, 6.0, 6.0, 6.0
M50 ETF     ,590115, 143.0, 144.9, 143.0, 143.9
HISARMET(PS ,590018, 115.95, 119.0, 110.05, 114.1
AUROMA COKE ,531336, 3.9, 3.9, 3.9, 3.9
KHYATI MULTI,531692, 0.5, 0.5, 0.5, 0.5
ZEN TECH    ,533339, 74.6, 74.6, 72.1, 72.75
NILACHAL REF,502294, 29.0, 29.8, 29.0, 29.8
TATA MOTORS ,500570, 293.9, 293.9, 288.6, 291.5
VMS INDUSTR ,533427, 8.39, 8.4, 7.97, 8.03
TWINSTAR SOF,531917, 0.71, 0.71, 0.65, 0.71
DREDGING COR,523618, 379.0, 382.45, 374.45, 378.15
REGENCY TRUS,511585, 1.82, 1.82, 1.82, 1.82
STEL        ,533316, 78.5, 80.0, 77.15, 79.05
NETFSNX150  ,542747, 48.0, 48.0, 48.0, 48.0
ASHISH POLY.,530429, 7.8, 8.19, 7.41, 8.19
826REC23    ,961778, 1150.0, 1150.0, 1149.5, 1149.5
ARVINDFASN  ,542484, 138.5, 140.5, 134.5, 138.4
TIJARIA PPL ,533629, 7.01, 7.25, 6.66, 7.19
MANGALAM IND,537800, 0.71, 0.71, 0.7, 0.7
T.P.L.      ,500777, 80.05, 86.6, 79.35, 84.5
EMMBI       ,533161, 83.4, 87.45, 81.65, 86.1
ELDECO HOUS.,523329, 1760.0, 1798.95, 1715.0, 1741.8
KAKATIYA TEX,521054, 0.63, 0.63, 0.57, 0.57
1025STFL24  ,958511, 1045000.0, 1045000.0, 1045000.0, 1045000.0
GOODYEAR (I),500168, 901.2, 918.65, 901.2, 913.35
HDFCMFGETF  ,533230, 42.19, 42.2, 41.32, 41.6
DALAL ST INV,501148, 240.7, 240.7, 240.7, 240.7
VISTA PHARMA,524711, 12.17, 12.77, 12.15, 12.59
CDG         ,534796, 20.0, 20.0, 20.0, 20.0
UNI ABEX    ,504605, 415.0, 415.0, 412.0, 413.5
MAJESTIC AUT,500267, 99.05, 102.95, 98.25, 98.75
RADHE DEVLOP,531273, 8.87, 8.87, 8.01, 8.38
CELEBRITYFAS,532695, 5.4, 5.75, 5.37, 5.44
119AML26    ,973118, 105115.83, 105115.83, 105115.83, 105115.83
HEG LIMITED ,509631, 2266.0, 2270.0, 2183.5, 2193.75
PTL LTD     ,509220, 37.8, 38.75, 37.1, 38.1
JETINFOTRAN ,517063, 39.0, 39.0, 38.05, 38.05
EBBETF0425  ,543215, 1037.0, 1038.5, 1036.7, 1038.5
925KFL23    ,937389, 990.0, 990.0, 990.0, 990.0
SH.HARI CHEM,524336, 63.7, 64.8, 63.0, 64.0
JINDAL SAW  ,500378, 89.45, 90.35, 87.2, 88.9
GOKUL REFOIL,532980, 19.1, 19.4, 18.5, 18.95
BRIDGE SECUR,530249, 4.15, 4.15, 4.15, 4.15
VINAYAK POL ,534639, 6.31, 6.62, 6.31, 6.62
PASARI SPIN ,521080, 1.55, 1.55, 1.55, 1.55
KAYA        ,539276, 270.9, 275.0, 265.1, 266.7
CONFI PETRO ,526829, 61.0, 62.0, 57.3, 58.75
TEJNAKSH    ,539428, 63.0, 67.85, 60.0, 66.9
GREAVES COTT,501455, 145.1, 149.9, 136.75, 138.2
9SEFL23B    ,936112, 339.8, 339.8, 322.5, 325.0
VSSL        ,534392, 191.65, 196.45, 187.0, 189.85
HINDUSTN BIO,532041, 4.29, 4.5, 4.29, 4.5
APOLLO      ,540879, 107.7, 109.5, 105.5, 106.75
MAXINDIA    ,543223, 66.1, 66.25, 65.1, 66.0
843PFC22A   ,950495, 10510.1, 10510.1, 10509.0, 10509.0
PMCFIN      ,534060, 1.03, 1.05, 1.03, 1.04
INDUS.INV.TR,501295, 53.0, 58.0, 53.0, 57.85
ATGL        ,542066, 1289.0, 1299.0, 1236.0, 1265.05
SAMRAT PHARM,530125, 252.5, 264.0, 252.0, 259.15
TRF LTD.    ,505854, 99.1, 101.0, 98.0, 99.05
INTEC CAP   ,526871, 13.1, 13.1, 13.1, 13.1
SHIV.BIMETAL,513097, 91.0, 93.3, 88.1, 89.9
HEXATRADEX  ,534328, 97.65, 101.5, 97.65, 99.0
ZYDUS WELL  ,531335, 2061.0, 2126.0, 2061.0, 2097.35
IST LTD.    ,508807, 388.0, 388.0, 366.25, 373.4
SHARDA ISPAT,513548, 59.0, 61.95, 56.1, 61.5
VISTARAMAR  ,538565, 56.0, 56.0, 53.25, 54.0
CALCOM VISIO,517236, 22.75, 22.75, 22.75, 22.75
ORIENT PRESS,526325, 73.6, 84.45, 73.6, 74.25
INTRASOFT   ,533181, 83.25, 85.05, 81.7, 84.95
FERMENTA    ,506414, 320.0, 323.0, 313.05, 320.35
J KUMAR INFR,532940, 180.45, 180.6, 175.65, 176.3
ANSAL BUILD.,523007, 40.2, 44.7, 40.2, 43.0
ACKNIT IND  ,530043, 100.0, 100.0, 93.0, 95.95
WHITEORG    ,513713, 4.8, 5.18, 4.6, 4.67
SML         ,539378, 32.0, 32.0, 32.0, 32.0
LUMAX IND   ,517206, 1550.0, 1553.05, 1513.0, 1520.6
DYNAMIC IND.,524818, 62.45, 64.0, 58.55, 63.2
ASTRON      ,540824, 42.35, 42.4, 40.7, 40.9
1599ILFS21  ,715006, 110.0, 110.0, 110.0, 110.0
SIMPLEX CAST,513472, 15.9, 15.9, 14.55, 15.0
WILLIAM.FIN.,519214, 4.7, 4.7, 4.7, 4.7
FRANKLIN    ,539839, 9.55, 9.55, 9.55, 9.55
SINTEXPLAST ,540653, 3.16, 3.25, 3.16, 3.18
SURYAVA SPIN,514140, 7.39, 7.39, 7.39, 7.39
KARDA       ,541161, 118.9, 121.0, 117.45, 118.0
MERCATOR    ,526235, 1.07, 1.07, 1.01, 1.02
KEWAL KIRAN ,532732, 882.9, 887.0, 871.7, 872.65
MAHAAN FOODS,519612, 15.6, 16.85, 15.6, 16.85
INDO AMINES ,524648, 120.0, 124.0, 114.4, 123.0
APLAB LTD.  ,517096, 14.15, 17.0, 14.15, 16.95
ALLIED DIGIT,532875, 45.85, 48.0, 45.2, 47.65
SVARTCORP   ,512257, 3.07, 3.07, 2.87, 2.91
ACCEL       ,517494, 13.14, 13.49, 12.55, 13.44
DHANIPP     ,890145, 79.5, 80.75, 75.55, 77.0
UNIV.CABLE  ,504212, 149.05, 154.05, 147.6, 153.3
990IFCI37D  ,972773, 24700.0, 24700.0, 24700.0, 24700.0
876HUDCO28  ,961785, 1310.0, 1310.0, 1309.99, 1310.0
TTIL        ,539040, 2.99, 2.99, 2.76, 2.99
11MPR       ,543176, 0.1, 0.1, 0.1, 0.1
GODAWARI POW,532734, 960.1, 1027.35, 960.1, 990.15
TATA STEEL  ,500470, 1081.2, 1088.85, 1047.0, 1068.95
ABVL        ,530881, 12.69, 12.69, 12.69, 12.69
J.B.CHEMICAL,506943, 1405.0, 1441.85, 1396.8, 1416.3
CPML        ,542727, 17.5, 17.5, 17.5, 17.5
SHIVAM AUTO ,532776, 19.2, 19.65, 18.8, 19.35
NATRAJ PROTE,530119, 43.9, 43.95, 43.9, 43.95
TT LTD.     ,514142, 46.15, 46.5, 45.2, 46.0
975SEFL22B  ,935940, 400.0, 428.97, 391.0, 391.0
SHARIABEES  ,590109, 372.0, 374.9, 362.6, 363.59
SUBEX LTX   ,532348, 49.0, 54.25, 49.0, 53.6
10MFL24     ,936544, 1079.0, 1080.0, 1075.0, 1080.0
RAMASIGNS   ,515127, 1.98, 1.98, 1.98, 1.98
TDSL        ,540955, 26.0, 27.5, 24.3, 26.3
INDRENEW    ,536709, 10.0, 10.43, 10.0, 10.01
BLA ROS IND ,514183, 178.75, 179.75, 172.5, 178.45
D B REALTY  ,533160, 22.25, 22.25, 20.7, 20.7
BHANDARI HOS,512608, 2.45, 2.45, 2.35, 2.39
CYIENT      ,532175, 799.0, 799.0, 755.0, 764.75
INOX LEISURE,532706, 265.5, 269.3, 265.5, 268.65
TPL PLAST   ,526582, 228.35, 234.95, 219.65, 226.7
BSL LTD.    ,514045, 38.4, 38.75, 37.1, 38.1
CHEVIOT CO. ,526817, 736.2, 744.9, 726.5, 734.3
LIQUIDBEES  ,590096, 999.99, 1000.01, 999.99, 1000.01
INDRAYANI BI,526445, 6.05, 6.21, 5.94, 6.21
BSLGOLDETF  ,533408, 4289.75, 4289.75, 4260.0, 4260.0
CAPRIHANS   ,509486, 95.2, 98.45, 94.5, 97.75
PDSMFL      ,538730, 683.0, 685.0, 683.0, 684.55
SAKUMA EXPO ,532713, 5.25, 5.39, 5.22, 5.27
APL APOLLO  ,533758, 1317.0, 1333.5, 1287.5, 1300.95
ARFIN       ,539151, 59.9, 59.9, 54.25, 57.75
RAJ OIL     ,533093, 114.0, 114.9, 107.1, 107.85
VASCON ENG  ,533156, 16.0, 16.5, 15.85, 16.1
DWAR SUGAR  ,532610, 47.5, 51.75, 47.5, 49.5
GENPHARMA   ,531592, 8.42, 8.62, 8.3, 8.43
ADCINDIA    ,523411, 213.0, 213.0, 195.0, 200.35
LIKHITHA    ,543240, 373.7, 373.7, 362.65, 367.75
PPL         ,542684, 139.15, 139.85, 135.5, 136.55
UTIAMC      ,543238, 655.0, 666.0, 640.9, 643.4
MAN DRUGORG ,532637, 139.0, 144.95, 137.6, 139.95
BOMBAY RAYON,532678, 7.55, 7.55, 7.19, 7.28
RAJOO ENGIN.,522257, 23.7, 23.85, 22.7, 22.9
RADAAN MEDIA,590070, 0.76, 0.78, 0.76, 0.78
GENESYS INT.,506109, 108.95, 108.95, 99.3, 101.65
ANDHRA CEMEN,532141, 5.38, 5.51, 5.26, 5.37
APCOTEX IND ,523694, 241.0, 242.0, 238.7, 240.4
NAGREEKA EXP,521109, 17.4, 17.8, 17.1, 17.8
TARC        ,543249, 28.25, 28.25, 27.4, 27.8
9MMFSL26    ,935752, 1179.0, 1179.0, 1163.0, 1163.0
935EFSL24   ,937335, 975.0, 975.0, 975.0, 975.0
SHK         ,539450, 148.3, 148.95, 144.05, 146.15
